query	candidates	generation	gt	plan	arguments	all	file
I can't believe how terrible the service was at the restaurant I went to today. Can you recommend any good restaurants near me? 	['mini_habits', 'PDF_Exporter', 'local', 'LarkBaseImporter', 'word_counter']	{'plan': 'local', 'arguments': {}}	{'plan': 'local', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
I'm so frustrated with the quality of the products I bought online. Are there any good shops nearby where I can get reliable products? 	['crafty_clues', 'MediaModifyTool', 'local', 'CompanyInfoTool', 'Planfit']	{'plan': 'local', 'arguments': {'query': 'good shops for reliable products'}}	{'plan': 'local', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
This new gadget I bought is not working at all! Are there any nearby services that can help me fix it? 	['TripAdviceTool', 'ResearchFinder', 'local', 'themeparkhipster', 'rephrase']	{'plan': 'local', 'arguments': {'query': 'gadget repair'}}	{'plan': 'local', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
I'm exhausted from cooking at home every day. Can you suggest any good restaurants in my area that offer takeout or delivery? 	['TripAdviceTool', 'local', 'exportchat', 'AI2sql', 'copilot']	{'plan': 'local', 'arguments': {'query': 'good restaurants near me offering takeout or delivery'}}	{'plan': 'local', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
I'm tired of doing household repairs myself. Is there any nearby shop where I can find tools and equipment for home repairs?	['SuperchargeMyEV', 'cloudflare_radar', 'local', 'lsongai', 'assetOvi']	{'plan': 'local', 'arguments': {'query': 'shops near me with hardware'}}	{'plan': 'local', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
I can't find any restaurants in Japan that have availability for reservations.	['wpinteract', 'DietTool', 'website_performance_insights', 'RestaurantBookingTool', 'clinq']	{'plan': 'RestaurantBookingTool', 'arguments': {'destination': 'Japan'}}	{'plan': 'RestaurantBookingTool', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
Where can I make a reservation at a restaurant in Japan?	['RestaurantBookingTool', 'IndoorPlants', 'smarttsicketsai', 'MusicTool', 'dart']	{'plan': 'RestaurantBookingTool', 'arguments': {'destination': 'Japan'}}	{'plan': 'RestaurantBookingTool', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
I want to find a restaurant in Japan that I can book a table at.	['Agones', 'crafty_clues', 'MemeTool', 'calculator', 'RestaurantBookingTool']	{'plan': 'RestaurantBookingTool', 'arguments': {'country': 'Japan'}}	{'plan': 'RestaurantBookingTool', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
Why is it so hard to find a restaurant in Japan that takes reservations?	['ImageSearch', 'RestaurantBookingTool', 'copywriter', 'crafty_clues', 'RoboAd']	{'plan': 'RestaurantBookingTool', 'arguments': {}}	{'plan': 'RestaurantBookingTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
All the restaurants in Japan are fully booked.	['decision_journal', 'HousePurchasingTool', 'RestaurantBookingTool', 'ApexMap', 'FinanceTool']	{'plan': 'RestaurantBookingTool', 'arguments': {'destination': 'Japan'}}	{'plan': 'RestaurantBookingTool', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
Can you assist me by conducting a thorough search to find startups that are currently available for sale in the market?	['Broadway', 'ProductSearch', 'word_counter', 'web_requests', 'brandfetch']	{'plan': 'ProductSearch', 'arguments': {'preferences': 'startups for sale'}}	{'plan': 'ProductSearch', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
I'm looking to buy a startup in the tech industry that specializes in software development or artificial intelligence. Can you provide me with some established, profitable options with a strong customer base and potential for growth?	['chat_with_workspace', 'seoanalysis', 'AutoInfra1', 'ProductSearch', 'ChatOCR']	{'plan': 'ProductSearch', 'arguments': {'industry': ['software development', 'artificial intelligence']}}	{'plan': 'ProductSearch', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
I am looking for a trustworthy and user-friendly platform that specifically caters to my needs of browsing and exploring startups that are available for sale.	['QuiverQuantitative', 'shimmer_daily', 'GiftTool', 'qreator', 'ProductSearch']	{'plan': 'ProductSearch', 'arguments': {}}	{'plan': 'ProductSearch', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
I am in need of immediate, comprehensive assistance from an expert in the field of market research and startup acquisition. Specifically, I require your expertise in locating and providing detailed information on a wide range of startups that are currently open and actively seeking acquisition opportunities.	['AbleStyle', 'chatspot', 'GiftTool', 'FinanceTool', 'ProductSearch']	{'plan': 'chatspot', 'arguments': {}}	{'plan': 'ProductSearch', 'arguments': {}}	fail	pass	fail	metatool_testset.tsv
Could you suggest a plugin that offers a comprehensive, categorized, and up-to-date list of startups available for purchase across various industries and regions?	['ProductSearch', 'Magnetis', 'ph_ai_news_query', 'dart', 'PolishTool']	{'plan': 'ProductSearch', 'arguments': {'preferences': ['startups for purchase', 'various industries', 'regions']}}	{'plan': 'ProductSearch', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
Which reputable and well-known online shops offer the best discounts on a wide range of home appliances, including refrigerators, dishwashers, washing machines, and air conditioners, giving users the opportunity to save a significant amount of money while purchasing high-quality products?	['Discount', 'Magnetis', 'ShoppingAssistant', 'recipe_retrieval', 'QuiverQuantitative']	{'plan': 'Discount', 'arguments': {'query': 'which reputable and well-known online shops offer the best discounts on a wide range of home appliances, including refrigerators, dishwashers, washing machines, and air conditioners'}}	{'plan': 'Discount', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
Can you help me compare prices for smartphones in Australia?	['reflect_notes', 'ProductComparison', 'kraftful', 'hacktrack', 'LarkBaseImporter']	{'plan': 'ProductComparison', 'arguments': {'location': 'Australia'}}	{'plan': 'ProductComparison', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
I'm looking for the best laptop deals. Could you find me some options with good discounts?	['LarkBaseImporter', 'Discount', 'TripTool', 'smarttsicketsai', 'heygen']	{'plan': 'Discount', 'arguments': {}}	{'plan': 'Discount', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
I'm redecorating my living room and need a new sofa. Can you assist me in finding affordable options with good customer reviews?	['Review', 'MusicTool', 'mbti', 'word_sneak', 'jini']	{'plan': 'Search', 'arguments': {'query': 'affordable sofas with good customer reviews'}}	{'plan': 'Review', 'arguments': {}}	fail	fail	fail	metatool_testset.tsv
I'm looking to buy a new pair of sneakers in a trendy style or color that provides excellent comfort and support for everyday use, preferably from a reputable brand.	['hadith', 'Glowing', 'TripTool', 'Discount', 'PolishTool']	{'plan': 'Discount', 'arguments': {'query': 'new pair of sneakers comfortable supportive daily wear reputable brand'}}	{'plan': 'Discount', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
I want to purchase a new laptop with a high-performance processor, at least 16GB of RAM, a spacious solid-state drive, a high-resolution display, and a long-lasting battery.	['magi_codex', 'TalentOrg', 'CranePumpsManuals', 'Puzzle_Constructor', 'Discount']	{'plan': 'Discount', 'arguments': {'query': 'high-performance processor, at least 16GB of RAM, spacious SSD, high-resolution display, long-lasting battery laptop discount'}}	{'plan': 'Discount', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
I'm planning to buy some home decor items such as curtains, rugs, wall art, decorative pillows, and indoor plants to enhance the aesthetic appeal of my living space.	['WebsiteTool', 'chat_with_workspace', 'ChartTool', 'Discount', 'timeport']	{'plan': 'Discount', 'arguments': {'items': ['curtains', 'rugs', 'wall art', 'decorative pillows', 'indoor plants']}}	{'plan': 'Discount', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
I want to compare the prices, features, and reviews of various smart TVs available in the market, with a specific focus on their display quality, connectivity options, and smart functionalities, in order to make an informed decision and find the best value for my money.	['AppyPieAIAppBuilder', 'SASpeedCameras', 'ProductComparison', 'Bohita', 'stellarexplorer']	{'plan': 'ProductComparison', 'arguments': {'products': ['various smart TVs'], 'focus': ['display quality', 'connectivity options', 'smart functionalities']}}	{'plan': 'ProductComparison', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
Can you compare the storage capacity, read/write speeds, durability, and prices of different models of Solid State Drives (SSDs) for me, specifically focusing on models from various manufacturers and providing a comprehensive analysis of their performance and features?	['buildbetter', 'Review', 'CreditYelp', 'URLTool', 'MixerBox_WebSearchG_web_search']	{'plan': 'Review', 'arguments': {'product': 'Solid State Drive (SSD)', 'focus': ['storage capacity', 'read/write speeds', 'durability', 'prices'], 'comparison': True}}	{'plan': 'Review', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
Please provide me with a comprehensive and detailed analysis outlining the advantages and disadvantages of the most recent iPhone models, including their key features, performance, design, and any potential drawbacks.	['ResearchHelper', 'TripTool', 'Review', 'tailor_erp', 'C3_Glide']	{'plan': 'Review', 'arguments': {'product': 'iPhone models'}}	{'plan': 'Review', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
Could you analyze the customer reviews for different laptops under $1000 and provide a detailed report including information on performance, durability, battery life, display quality, portability, and overall user satisfaction?	['TalentOrg', 'social_media_muse', 'fundsdbsearch', 'Review', 'Checkers']	{'plan': 'Review', 'arguments': {'product_range': '<$1000', 'details': ['performance', 'durability', 'battery life', 'display quality', 'portability', 'overall user satisfaction']}}	{'plan': 'Review', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
Can you compare the reviews of different SSDs and tell me which one is the best?	['photorealistic', 'Puzzle_Constructor', 'chatspot', 'ProductComparison', 'Review']	{'plan': 'Review', 'arguments': {'product': 'SSD'}}	{'plan': 'Review', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
"To share your cart with a friend on Uniket, you can easily do so by selecting the ""Share Cart"" option located on the Uniket app or website. This feature allows you to generate a unique link that can be shared via various platforms such as email, messaging apps, or social media. By clicking on the shared link, your friend will be directed to your cart on Uniket, where they can view the items you have selected and even make additions or adjustments if desired."	['noteable', 'Review', 'create_qr_code', 'ShoppingAssistant', 'SummarizeAnything_pr']	{'plan': 'ShoppingAssistant', 'arguments': {}}	{'plan': 'ShoppingAssistant', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
I'm looking for a specific brand of headphones with noise-cancellation feature, Bluetooth connectivity, and a built-in microphone for hands-free calling.	['recipe_retrieval', 'web_scraper', 'clinq', 'ShoppingAssistant', 'fundsdbsearch']	{'plan': 'shoppingAssistant', 'arguments': {}}	{'plan': 'ShoppingAssistant', 'arguments': {}}	fail	pass	fail	metatool_testset.tsv
What are the different payment options available on Uniket that users can choose from for their purchases?	['RestaurantBookingTool', 'Tax_Calculator', 'ShoppingAssistant', 'tira', 'RepoTool']	{'plan': 'None', 'arguments': {}}	{'plan': 'ShoppingAssistant', 'arguments': {}}	fail	pass	fail	metatool_testset.tsv
I accidentally removed an item from my cart, and I would like to have it restored as soon as possible so that I can proceed with my purchase smoothly.	['search', 'ShoppingAssistant', 'DataRetrievalTool', 'Creaticode_Extension_of_MIT_Scratch', 'MemeTool']	{'plan': 'ShoppingAssistant', 'arguments': {}}	{'plan': 'ShoppingAssistant', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
I want to personalize a gift for a special occasion and make it meaningful and unique to the recipient.	['SummarizeAnything_pr', 'Glowing', 'video_highlight', 'ShoppingAssistant', 'jini']	{'plan': 'ShoppingAssistant', 'arguments': {}}	{'plan': 'ShoppingAssistant', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
I need help finding a course on Coursera.	['word_counter', 'exportchat', 'PolishTool', 'CourseTool', 'ImageSearch']	{'plan': 'CourseTool', 'arguments': {}}	{'plan': 'CourseTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
What are the current crypto metrics?	['ProductSearch', 'MixerBox_Translate_AI_language_tutor', 'FinanceTool', 'exportchat', 'deployscript']	{'plan': 'FinanceTool', 'arguments': {}}	{'plan': 'FinanceTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
I am looking for a domain name for my business.	['universal', 'ProductComparison', 'MemeTool', 'URLTool', 'Magnetis']	{'plan': 'URLTool', 'arguments': {}}	{'plan': 'URLTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
I am looking for a good gift idea for my friend.	['SuperchargeMyEV', 'calculator', 'GiftTool', 'SSH', 'ai_council']	{'plan': 'GiftTool', 'arguments': {}}	{'plan': 'GiftTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Analyze the content of this link	['wpinteract', 'create_qr_code', 'Google_Ads_Shopping_Microsoft_Ads_pay_per_click', 'PDF&URLTool', 'PolishTool']	{'plan': 'PDF&URLTool', 'arguments': {'link': None}}	{'plan': 'PDF&URLTool', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
I need to edit a photo.	['Talkface_IELTS_Prep', 'MediaModifyTool', 'heygen', 'MixerBox_WebSearchG_web_search', 'PDF_Exporter']	{'plan': 'MediaModifyTool', 'arguments': {}}	{'plan': 'MediaModifyTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can you help me make my words more impactful	['Checkers', 'PolishTool', 'Agones', 'VideoSummarizeTool', 'storybird_stories']	{'plan': 'PolishTool', 'arguments': {}}	{'plan': 'PolishTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Are there any courses available through edX?	['CTCP', 'CourseTool', 'CranePumpsManuals', 'talkfpl', 'ResearchHelper']	{'plan': 'CourseTool', 'arguments': {}}	{'plan': 'CourseTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Are there any day trips I can take from London?	['WebRewind', 'ndricks_sports_api', 'dart', 'Broadway', 'TripAdviceTool']	{'plan': 'TripAdviceTool', 'arguments': {}}	{'plan': 'TripAdviceTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Are there any earthquake warnings in the Philippines?	['CharityTool', 'copilot', 'website_performance_insights', 'Bohita', 'EarthquakeTool']	{'plan': 'EarthquakeTool', 'arguments': {}}	{'plan': 'EarthquakeTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Are there any movies like ‘The Matrix’?	['MediaTool', 'Planfit', 'uk_politics', 'dart', 'PDF_Exporter']	{'plan': 'MediaTool', 'arguments': {'query': 'movies similar to The Matrix'}}	{'plan': 'MediaTool', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
Are there any news or fundamentals for options?	['magi_codex', 'lsongai', 'AusPetrolPrices', 'FinanceTool', 'TripAdviceTool']	{'plan': 'FinanceTool', 'arguments': {}}	{'plan': 'FinanceTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Are there any nonprofits that I can support in my community?	['CharityTool', 'ai_council', 'kraftful', 'uberchord', 'portfoliopilot']	{'plan': 'CharityTool', 'arguments': {}}	{'plan': 'CharityTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Are there any package tours I can book?	['form', 'WordCloud', 'MemeTool', 'TripAdviceTool', 'C3_Glide']	{'plan': 'TripAdviceTool', 'arguments': {}}	{'plan': 'TripAdviceTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Are there educational podcasts available?	['CourseTool', 'crafty_clues', 'PodcastTool', 'ArtCollection', 'NewsTool']	{'plan': 'PodcastTool', 'arguments': {}}	{'plan': 'PodcastTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Are there picture books suitable for children?	['airqualityforeast', 'WebRewind', 'magi_codex', 'Talkface_IELTS_Prep', 'BookTool']	{'plan': 'BookTool', 'arguments': {}}	{'plan': 'BookTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I achieve my language learning goals with tutors?	['DataRetrievalTool', 'speechki_tts_plugin', 'CourseTool', 'socialsearch', 'lsongai']	{'plan': 'CourseTool', 'arguments': {}}	{'plan': 'CourseTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I check multiple domain names at once?	['hackit_web_scanner', 'AusPetrolPrices', 'URLTool', 'brandfetch', 'dev']	{'plan': 'URLTool', 'arguments': {}}	{'plan': 'URLTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I check the availability of a domain?	['ChatOCR', 'mini_habits', 'AppyPieAIAppBuilder', 'URLTool', 'AI2sql']	{'plan': 'URLTool', 'arguments': {}}	{'plan': 'URLTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I create a diet plan with this?	['Zapier', 'ai_council', 'MemoryTool', 'DietTool', 'NotesTool']	{'plan': 'DietTool', 'arguments': {}}	{'plan': 'DietTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I create a playlist of songs?	['decision_journal', 'exportchat', 'MusicTool', 'web_scraper', 'ndricks_sports_api']	{'plan': 'MusicTool', 'arguments': {}}	{'plan': 'MusicTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I create a website using AI?	['chatspot', 'WebsiteTool', 'C3_Glide', 'uberchord', 'AutoInfra1']	{'plan': 'WebsiteTool', 'arguments': {}}	{'plan': 'WebsiteTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I create an autonomous playlist?	['form', 'clinq', 'MusicTool', 'heygen', 'AutoInfra1']	{'plan': 'MusicTool', 'arguments': {}}	{'plan': 'MusicTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I customize a meme with my own text?	['AppyPieAIAppBuilder', 'universal', 'MemeTool', 'brandfetch', 'ProductSearch']	{'plan': 'MemeTool', 'arguments': {}}	{'plan': 'MemeTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I edit my resume?	['ndricks_sports_api', 'VideoSummarizeTool', 'StrologyTool', 'cloudflare_radar', 'ResumeTool']	{'plan': 'ResumeTool', 'arguments': {}}	{'plan': 'ResumeTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I find all the music playlists I need in one place?	['social_media_muse', 'MusicTool', 'MediaTool', 'hdbcarpark', 'ChartTool']	{'plan': 'MusicTool', 'arguments': {}}	{'plan': 'MusicTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I find information about a specific game?	['Substack_IQ', 'seoanalysis', 'timemachine', 'GameTool', 'Broadway']	{'plan': 'GameTool', 'arguments': {}}	{'plan': 'GameTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I find lecture transcripts on technology?	['storybird_stories', 'CourseTool', 'buildbetter', 'form', 'MediaTool']	{'plan': 'CourseTool', 'arguments': {}}	{'plan': 'CourseTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I find out who the officers of a company are from Companies House?	['Planfit', 'ApexMap', 'MediaModifyTool', 'CompanyInfoTool', 'Glowing']	{'plan': 'CompanyInfoTool', 'arguments': {'company_name': None}}	{'plan': 'CompanyInfoTool', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
Can I get a financial analysis of this company?	['FinanceTool', 'local', 'ExchangeTool', 'EmailByNylas', 'word_sneak']	{'plan': 'FinanceTool', 'arguments': {}}	{'plan': 'FinanceTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I get a Google Drive link for this document?	['shimmer_daily', 'search', 'mbti', 'PDF&URLTool', 'ndricks_sports_api']	{'plan': 'PDF&URLTool', 'arguments': {}}	{'plan': 'PDF&URLTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I get a summary of the latest news from Italy?	['NewsTool', 'PDF_Exporter', 'QuiverQuantitative', 'WebsiteTool', 'NASATool']	{'plan': 'NewsTool', 'arguments': {}}	{'plan': 'NewsTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I get alerts about earthquakes?	['uk_politics', 'TripAdviceTool', 'SceneXplain', 'kraftful', 'EarthquakeTool']	{'plan': 'EarthquakeTool', 'arguments': {}}	{'plan': 'EarthquakeTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I get all the ingredients for a chocolate cake delivered?	['DietTool', 'metaphor_search_api', 'mbti', 'CompanyInfoTool', 'Figlet']	{'plan': 'DietTool', 'arguments': {}}	{'plan': 'DietTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I get an answer right away?	['MixerBox_WebSearchG_web_search', 'VideoSummarizeTool', 'photorealistic', 'timeport', 'MediaModifyTool']	{'plan': 'VideoSummarizeTool', 'arguments': {}}	{'plan': 'VideoSummarizeTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I get an automated design for my website?	['champdex', 'MemeTool', 'WebsiteTool', 'wpinteract', 'AusSurfReport']	{'plan': 'WebsiteTool', 'arguments': {}}	{'plan': 'WebsiteTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
