conversation_history	query	rewrited_query	candidates	generation	gt	plan	arguments	all	file
[]	Adjust the contact details of Linda at content://contacts/people/linda: set her email to linda@work.org.	Adjust the contact details of Linda at content://contacts/people/linda: set her email to linda@work.org.	['ACTION_OPEN_DOCUMENT', 'web_search', 'ACTION_GET_CONTENT', 'ACTION_EDIT_CONTACT', 'get_contact_info']	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/linda', 'contact_info': {'email': 'linda@work.org'}}}	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/linda', 'contact_info': {'email': 'linda@work.org'}}}	pass	pass	pass	droidcall_tc.tsv
[]	I need to change the address for the contact at content://contacts/people/robert. Please update his address to '123 Elm Street'.	I need to change the address for the contact at content://contacts/people/robert. Please update his address to '123 Elm Street'.	['ACTION_SHOW_ALARMS', 'INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_VIEW_CONTACT', 'ACTION_EDIT_CONTACT', 'ACTION_GET_CONTENT']	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/robert', 'contact_info': {'address': '123 Elm Street'}}}	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/robert', 'contact_info': {'address': '123 Elm Street'}}}	pass	pass	pass	droidcall_tc.tsv
[]	Could you edit the details for my coworker at content://contacts/people/alice to update her email to alice@example.com and set her company to AcmeCorp?	Could you edit the details for my coworker at content://contacts/people/alice to update her email to alice@example.com and set her company to AcmeCorp?	['ACTION_EDIT_CONTACT', 'get_contact_info_from_uri', 'ACTION_INSERT_CONTACT', 'ACTION_VIDEO_CAPTURE', 'ACTION_OPEN_DOCUMENT']	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/alice', 'contact_info': {'email': 'alice@example.com', 'company': 'AcmeCorp'}}}	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/alice', 'contact_info': {'email': 'alice@example.com', 'company': 'AcmeCorp'}}}	pass	pass	pass	droidcall_tc.tsv
[]	For the contact URI content://contacts/people/lily, update her phone number to 555-4321 and her email to lily@mailservice.com.	For the contact URI content://contacts/people/lily, update her phone number to 555-4321 and her email to lily@mailservice.com.	['ACTION_EDIT_CONTACT', 'ACTION_PICK', 'INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_IMAGE_CAPTURE', 'send_message']	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/lily', 'contact_info': {'phone': '555-4321', 'email': 'lily@mailservice.com'}}}	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/lily', 'contact_info': {'phone': '555-4321', 'email': 'lily@mailservice.com'}}}	pass	pass	pass	droidcall_tc.tsv
[]	Could you please update the information for the contact at URI content://contacts/people/zoe so that her phone number is now 8005550001?	Could you please update the information for the contact at URI content://contacts/people/zoe so that her phone number is now 8005550001?	['ACTION_EDIT_CONTACT', 'open_settings', 'ACTION_OPEN_DOCUMENT', 'send_message', 'ACTION_IMAGE_CAPTURE']	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/zoe', 'contact_info': {'phone': '8005550001'}}}	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/zoe', 'contact_info': {'phone': '8005550001'}}}	pass	pass	pass	droidcall_tc.tsv
[]	I want to edit the contact details using the URI content://contacts/people/arthur. Please set his company to 'OldSchool Inc.'	I want to edit the contact details using the URI content://contacts/people/arthur. Please set his company to 'OldSchool Inc.'	['ACTION_INSERT_CONTACT', 'send_message', 'ACTION_VIDEO_CAPTURE', 'ACTION_OPEN_DOCUMENT', 'ACTION_EDIT_CONTACT']	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/arthur', 'contact_info': {'company': 'OldSchool Inc'}}}	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/arthur', 'contact_info': {'company': 'OldSchool Inc.'}}}	pass	fail	fail	droidcall_tc.tsv
[]	I would like to select several video clips for my project, so please allow multiple selections.	I would like to select several video clips for my project, so please allow multiple selections.	['ACTION_CREATE_DOCUMENT', 'ACTION_OPEN_DOCUMENT', 'ACTION_PICK', 'ACTION_GET_RINGTONE', 'ACTION_IMAGE_CAPTURE']	{'plan': 'ACTION_OPEN_DOCUMENT', 'arguments': {'mime_types': ['video/*'], 'allow_multiple': True}}	{'plan': 'ACTION_OPEN_DOCUMENT', 'arguments': {'mime_types': ['video/*'], 'allow_multiple': True}}	pass	pass	pass	droidcall_tc.tsv
[]	Access multiple CSV files from my drive, please.	Access multiple CSV files from my drive, please.	['ACTION_OPEN_DOCUMENT', 'ACTION_GET_CONTENT', 'ACTION_EDIT_CONTACT', 'get_contact_info', 'web_search']	{'plan': 'ACTION_OPEN_DOCUMENT', 'arguments': {'mime_types': ['application/csv']}}	{'plan': 'ACTION_OPEN_DOCUMENT', 'arguments': {'mime_types': ['text/csv'], 'allow_multiple': True}}	pass	fail	fail	droidcall_tc.tsv
[]	Can you show me how to select text files? I need to choose multiple files at once.	Can you show me how to select text files? I need to choose multiple files at once.	['get_contact_info_from_uri', 'INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_VIEW_CONTACT', 'ACTION_OPEN_DOCUMENT', 'ACTION_VIDEO_CAPTURE']	{'plan': 'ACTION_OPEN_DOCUMENT', 'arguments': {'mime_types': ['text/plain'], 'allow_multiple': True}}	{'plan': 'ACTION_OPEN_DOCUMENT', 'arguments': {'mime_types': ['text/plain'], 'allow_multiple': True}}	pass	pass	pass	droidcall_tc.tsv
[]	I need to open a JavaScript file from my codebase.	I need to open a JavaScript file from my codebase.	['ACTION_SHOW_ALARMS', 'open_settings', 'send_email', 'ACTION_OPEN_DOCUMENT', 'ACTION_GET_RINGTONE']	{'plan': 'ACTION_OPEN_DOCUMENT', 'arguments': {'mime_types': ['application/javascript']}}	{'plan': 'ACTION_OPEN_DOCUMENT', 'arguments': {'mime_types': ['application/javascript']}}	pass	pass	pass	droidcall_tc.tsv
[]	I have a requirement to open a file in XML format. Can you help me choose one?	I have a requirement to open a file in XML format. Can you help me choose one?	['ACTION_INSERT_CONTACT', 'ACTION_CREATE_DOCUMENT', 'ACTION_INSERT_EVENT', 'ACTION_GET_CONTENT', 'ACTION_OPEN_DOCUMENT']	{'plan': 'ACTION_OPEN_DOCUMENT', 'arguments': {'mime_types': ['application/xml']}}	{'plan': 'ACTION_OPEN_DOCUMENT', 'arguments': {'mime_types': ['application/xml']}}	pass	pass	pass	droidcall_tc.tsv
[]	Retrieve a PDF document stored on my device.	Retrieve a PDF document stored on my device.	['open_settings', 'dial', 'ACTION_OPEN_DOCUMENT', 'ACTION_GET_CONTENT', 'ACTION_INSERT_CONTACT']	{'plan': 'ACTION_GET_CONTENT', 'arguments': {'mime_type': 'application/pdf'}}	{'plan': 'ACTION_OPEN_DOCUMENT', 'arguments': {'mime_types': ['application/pdf']}}	fail	fail	fail	droidcall_tc.tsv
[]	Find me a Kindle file; I need a MOBI document from my library.	Find me a Kindle file; I need a MOBI document from my library.	['ACTION_GET_CONTENT', 'ACTION_OPEN_DOCUMENT', 'ACTION_INSERT_EVENT', 'ACTION_CREATE_DOCUMENT', 'ACTION_VIDEO_CAPTURE']	{'plan': 'ACTION_GET_CONTENT', 'arguments': {'mime_type': 'application/pdf'}}	{'plan': 'ACTION_OPEN_DOCUMENT', 'arguments': {'mime_types': ['application/x-mobipocket-ebook']}}	fail	fail	fail	droidcall_tc.tsv
[]	I require a vector graphic file, like an SVG, for design purposes.	I require a vector graphic file, like an SVG, for design purposes.	['ACTION_CREATE_DOCUMENT', 'ACTION_OPEN_DOCUMENT', 'INTENT_ACTION_STILL_IMAGE_CAMERA', 'INTENT_ACTION_VIDEO_CAMERA', 'web_search']	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'image/svg+xml', 'initial_name': 'design.svg'}}	{'plan': 'ACTION_OPEN_DOCUMENT', 'arguments': {'mime_types': ['image/svg+xml']}}	fail	fail	fail	droidcall_tc.tsv
[]	I want to edit some images; let me pick multiple image files from my gallery.	I want to edit some images; let me pick multiple image files from my gallery.	['ACTION_SET_TIMER', 'search_location', 'INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_OPEN_DOCUMENT', 'ACTION_GET_RINGTONE']	{'plan': 'ACTION_OPEN_DOCUMENT', 'arguments': {'mime_types': 'image/*'}}	{'plan': 'ACTION_OPEN_DOCUMENT', 'arguments': {'mime_types': ['image/*'], 'allow_multiple': True}}	pass	fail	fail	droidcall_tc.tsv
[]	I want to open a PDF document for a quick read.	I want to open a PDF document for a quick read.	['ACTION_SET_ALARM', 'ACTION_IMAGE_CAPTURE', 'ACTION_OPEN_DOCUMENT', 'ACTION_CREATE_DOCUMENT', 'ACTION_EDIT_CONTACT']	{'plan': 'ACTION_OPEN_DOCUMENT', 'arguments': {'mime_types': ['application/pdf']}}	{'plan': 'ACTION_OPEN_DOCUMENT', 'arguments': {'mime_types': ['application/pdf']}}	pass	pass	pass	droidcall_tc.tsv
[]	Fetch multiple files regardless of the type available on my device.	Fetch multiple files regardless of the type available on my device.	['web_search', 'get_contact_info_from_uri', 'ACTION_GET_CONTENT', 'ACTION_PICK', 'ACTION_IMAGE_CAPTURE']	{'plan': 'ACTION_GET_CONTENT', 'arguments': {'mime_type': '', 'allow_multiple': True}}	{'plan': 'ACTION_GET_CONTENT', 'arguments': {'mime_type': '*/*', 'allow_multiple': True}}	pass	fail	fail	droidcall_tc.tsv
[]	Can you let me choose a file regardless of its type from my device?	Can you let me choose a file regardless of its type from my device?	['ACTION_SET_ALARM', 'get_contact_info_from_uri', 'ACTION_IMAGE_CAPTURE', 'ACTION_GET_CONTENT', 'search_location']	{'plan': 'ACTION_GET_CONTENT', 'arguments': {'mime_type': '', 'allow_multiple': True}}	{'plan': 'ACTION_GET_CONTENT', 'arguments': {'mime_type': '*/*'}}	pass	fail	fail	droidcall_tc.tsv
[]	Grant me access to a list of image files because I'd like to choose more than one.	Grant me access to a list of image files because I'd like to choose more than one.	['ACTION_SET_TIMER', 'ACTION_GET_CONTENT', 'ACTION_SET_ALARM', 'INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_INSERT_CONTACT']	{'plan': 'ACTION_GET_CONTENT', 'arguments': {'mime_type': 'image/*', 'allow_multiple': True}}	{'plan': 'ACTION_GET_CONTENT', 'arguments': {'mime_type': 'image/*', 'allow_multiple': True}}	pass	pass	pass	droidcall_tc.tsv
[]	I need to pick one text document to attach to my email.	I need to pick one text document to attach to my email.	['ACTION_EDIT_CONTACT', 'ACTION_GET_CONTENT', 'search_location', 'dial', 'ACTION_SHOW_ALARMS']	{'plan': 'ACTION_GET_CONTENT', 'arguments': {'mime_type': 'text/plain'}}	{'plan': 'ACTION_GET_CONTENT', 'arguments': {'mime_type': 'text/plain'}}	pass	pass	pass	droidcall_tc.tsv
[]	I need to quickly pick a single image file to attach to my email.	I need to quickly pick a single image file to attach to my email.	['ACTION_SET_TIMER', 'ACTION_EDIT_CONTACT', 'ACTION_GET_CONTENT', 'INTENT_ACTION_VIDEO_CAMERA', 'ACTION_CREATE_DOCUMENT']	{'plan': 'ACTION_GET_CONTENT', 'arguments': {'mime_type': 'image/*'}}	{'plan': 'ACTION_GET_CONTENT', 'arguments': {'mime_type': 'image/*'}}	pass	pass	pass	droidcall_tc.tsv
[]	Let me grab an image file so I can include it in my report.	Let me grab an image file so I can include it in my report.	['ACTION_OPEN_DOCUMENT', 'ACTION_VIDEO_CAPTURE', 'ACTION_SET_ALARM', 'ACTION_GET_CONTENT', 'INTENT_ACTION_VIDEO_CAMERA']	{'plan': 'ACTION_GET_CONTENT', 'arguments': {'mime_type': 'image/*'}}	{'plan': 'ACTION_GET_CONTENT', 'arguments': {'mime_type': 'image/*'}}	pass	pass	pass	droidcall_tc.tsv
[]	Open the file picker for PNG images so I can attach one.	Open the file picker for PNG images so I can attach one.	['ACTION_IMAGE_CAPTURE', 'ACTION_GET_CONTENT', 'ACTION_SHOW_ALARMS', 'ACTION_VIEW_CONTACT', 'get_contact_info_from_uri']	{'plan': 'ACTION_GET_CONTENT', 'arguments': {'mime_type': 'image/png'}}	{'plan': 'ACTION_GET_CONTENT', 'arguments': {'mime_type': 'image/png'}}	pass	pass	pass	droidcall_tc.tsv
[]	Help me choose one manuscript file from my storage; I'm updating an article.	Help me choose one manuscript file from my storage; I'm updating an article.	['ACTION_GET_CONTENT', 'INTENT_ACTION_VIDEO_CAMERA', 'ACTION_VIEW_CONTACT', 'ACTION_SET_TIMER', 'ACTION_IMAGE_CAPTURE']	{'plan': 'ACTION_GET_CONTENT', 'arguments': {'mime_type': 'application/msword'}}	{'plan': 'ACTION_GET_CONTENT', 'arguments': {'mime_type': 'text/plain'}}	pass	fail	fail	droidcall_tc.tsv
[]	Grab one video clip so I can forward it immediately.	Grab one video clip so I can forward it immediately.	['ACTION_GET_CONTENT', 'dial', 'ACTION_SHOW_ALARMS', 'get_contact_info_from_uri', 'ACTION_GET_RINGTONE']	{'plan': 'ACTION_GET_CONTENT', 'arguments': {'mime_type': 'video/*'}}	{'plan': 'ACTION_GET_CONTENT', 'arguments': {'mime_type': 'video/*'}}	pass	pass	pass	droidcall_tc.tsv
[]	I want to quickly grab one audio snippet for my project.	I want to quickly grab one audio snippet for my project.	['ACTION_GET_RINGTONE', 'ACTION_IMAGE_CAPTURE', 'ACTION_GET_CONTENT', 'web_search', 'ACTION_INSERT_CONTACT']	{'plan': 'ACTION_GET_RINGTONE', 'arguments': {}}	{'plan': 'ACTION_GET_CONTENT', 'arguments': {'mime_type': 'audio/*'}}	fail	fail	fail	droidcall_tc.tsv
[]	I want to personalize my alarm clock with a different ringtone. Start the ringtone picker, please.	I want to personalize my alarm clock with a different ringtone. Start the ringtone picker, please.	['ACTION_GET_RINGTONE', 'get_contact_info', 'send_email', 'get_contact_info_from_uri', 'ACTION_VIDEO_CAPTURE']	{'plan': 'ACTION_GET_RINGTONE', 'arguments': {}}	{'plan': 'ACTION_GET_RINGTONE', 'arguments': {}}	pass	pass	pass	droidcall_tc.tsv
[]	I need a refresher for my alarm sound. Let me choose a ringtone to set a new tone on my device.	I need a refresher for my alarm sound. Let me choose a ringtone to set a new tone on my device.	['dial', 'web_search', 'ACTION_GET_RINGTONE', 'send_message', 'ACTION_EDIT_CONTACT']	{'plan': 'ACTION_GET_RINGTONE', 'arguments': {}}	{'plan': 'ACTION_GET_RINGTONE', 'arguments': {}}	pass	pass	pass	droidcall_tc.tsv
[]	I want to update my alarm settings with a new ring sound. Could you open the ringtone selection tool?	I want to update my alarm settings with a new ring sound. Could you open the ringtone selection tool?	['ACTION_IMAGE_CAPTURE', 'get_contact_info_from_uri', 'get_contact_info', 'ACTION_GET_RINGTONE', 'ACTION_SHOW_ALARMS']	{'plan': 'ACTION_GET_RINGTONE', 'arguments': {}}	{'plan': 'ACTION_GET_RINGTONE', 'arguments': {}}	pass	pass	pass	droidcall_tc.tsv
[]	Set up a ringtone selection tool for my new alarm sound.	Set up a ringtone selection tool for my new alarm sound.	['get_contact_info_from_uri', 'ACTION_SET_ALARM', 'ACTION_GET_RINGTONE', 'ACTION_PICK', 'ACTION_VIEW_CONTACT']	{'plan': 'ACTION_GET_RINGTONE', 'arguments': {}}	{'plan': 'ACTION_GET_RINGTONE', 'arguments': {}}	pass	pass	pass	droidcall_tc.tsv
[]	I would like to change my alarm ringtone. Please trigger the ringtone picker for me.	I would like to change my alarm ringtone. Please trigger the ringtone picker for me.	['get_contact_info_from_uri', 'ACTION_GET_RINGTONE', 'ACTION_OPEN_DOCUMENT', 'ACTION_SET_TIMER', 'ACTION_VIDEO_CAPTURE']	{'plan': 'ACTION_GET_RINGTONE', 'arguments': {}}	{'plan': 'ACTION_GET_RINGTONE', 'arguments': {}}	pass	pass	pass	droidcall_tc.tsv
[]	Could you let me select a ringtone from my device to use as my alarm tone?	Could you let me select a ringtone from my device to use as my alarm tone?	['ACTION_INSERT_CONTACT', 'open_settings', 'ACTION_GET_RINGTONE', 'ACTION_INSERT_EVENT', 'get_contact_info']	{'plan': 'ACTION_GET_RINGTONE', 'arguments': {}}	{'plan': 'ACTION_GET_RINGTONE', 'arguments': {}}	pass	pass	pass	droidcall_tc.tsv
[]	I desire an updated tone for my alarm; please load the ringtone selection module.	I desire an updated tone for my alarm; please load the ringtone selection module.	['dial', 'ACTION_INSERT_CONTACT', 'search_location', 'ACTION_GET_RINGTONE', 'ACTION_EDIT_CONTACT']	{'plan': 'ACTION_GET_RINGTONE', 'arguments': {}}	{'plan': 'ACTION_GET_RINGTONE', 'arguments': {}}	pass	pass	pass	droidcall_tc.tsv
[]	I want to assign a new ringtone to my alarm clock; help me pick one from my device.	I want to assign a new ringtone to my alarm clock; help me pick one from my device.	['send_email', 'ACTION_EDIT_CONTACT', 'INTENT_ACTION_VIDEO_CAMERA', 'ACTION_SET_TIMER', 'ACTION_GET_RINGTONE']	{'plan': 'ACTION_GET_RINGTONE', 'arguments': {}}	{'plan': 'ACTION_GET_RINGTONE', 'arguments': {}}	pass	pass	pass	droidcall_tc.tsv
[]	I need to pick a new alarm sound from my ringtone collection. Can you help me open the selection?	I need to pick a new alarm sound from my ringtone collection. Can you help me open the selection?	['ACTION_SET_ALARM', 'send_email', 'ACTION_GET_RINGTONE', 'ACTION_SET_TIMER', 'ACTION_PICK']	{'plan': 'ACTION_GET_RINGTONE', 'arguments': {}}	{'plan': 'ACTION_GET_RINGTONE', 'arguments': {}}	pass	pass	pass	droidcall_tc.tsv
[]	I wish to choose a new sound for my alarm; can you display the ringtone picker for me?	I wish to choose a new sound for my alarm; can you display the ringtone picker for me?	['ACTION_GET_RINGTONE', 'ACTION_CREATE_DOCUMENT', 'ACTION_VIEW_CONTACT', 'send_message', 'get_contact_info']	{'plan': 'ACTION_GET_RINGTONE', 'arguments': {}}	{'plan': 'ACTION_GET_RINGTONE', 'arguments': {}}	pass	pass	pass	droidcall_tc.tsv
[]	I need to get a photograph snapped. Could you have it saved at content://device/photos/shot.png?	I need to get a photograph snapped. Could you have it saved at content://device/photos/shot.png?	['get_contact_info_from_uri', 'ACTION_GET_RINGTONE', 'ACTION_IMAGE_CAPTURE', 'search_location', 'ACTION_SHOW_ALARMS']	{'plan': 'ACTION_IMAGE_CAPTURE', 'arguments': {'file_uri': 'content://device/photos/shot.png'}}	{'plan': 'ACTION_IMAGE_CAPTURE', 'arguments': {'file_uri': 'content://device/photos/shot.png'}}	pass	pass	pass	droidcall_tc.tsv
[]	Please capture a snapshot using the camera and let the app decide where to store it.	Please capture a snapshot using the camera and let the app decide where to store it.	['INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_OPEN_DOCUMENT', 'ACTION_IMAGE_CAPTURE', 'get_contact_info_from_uri', 'ACTION_SET_TIMER']	{'plan': 'ACTION_IMAGE_CAPTURE', 'arguments': {}}	{'plan': 'ACTION_IMAGE_CAPTURE', 'arguments': {}}	pass	pass	pass	droidcall_tc.tsv
