Query	answer	candidates
Can you compare the storage capacity, read/write speeds, durability, and prices of different models of Solid State Drives (SSDs) for me, specifically focusing on models from various manufacturers and providing a comprehensive analysis of their performance and features?	{'plan': 'Review', 'arguments': {}}	['buildbetter', 'Review', 'CreditYelp', 'URLTool', 'MixerBox_WebSearchG_web_search']
Please provide me with a comprehensive and detailed analysis outlining the advantages and disadvantages of the most recent iPhone models, including their key features, performance, design, and any potential drawbacks.	{'plan': 'Review', 'arguments': {}}	['ResearchHelper', 'TripTool', 'Review', 'tailor_erp', 'C3_Glide']
Could you analyze the customer reviews for different laptops under $1000 and provide a detailed report including information on performance, durability, battery life, display quality, portability, and overall user satisfaction?	{'plan': 'Review', 'arguments': {}}	['TalentOrg', 'social_media_muse', 'fundsdbsearch', 'Review', 'Checkers']
Can you compare the reviews of different SSDs and tell me which one is the best?	{'plan': 'Review', 'arguments': {}}	['photorealistic', 'Puzzle_Constructor', 'chatspot', 'ProductComparison', 'Review']
"To share your cart with a friend on Uniket, you can easily do so by selecting the ""Share Cart"" option located on the Uniket app or website. This feature allows you to generate a unique link that can be shared via various platforms such as email, messaging apps, or social media. By clicking on the shared link, your friend will be directed to your cart on Uniket, where they can view the items you have selected and even make additions or adjustments if desired."	{'plan': 'ShoppingAssistant', 'arguments': {}}	['noteable', 'Review', 'create_qr_code', 'ShoppingAssistant', 'SummarizeAnything_pr']
I'm looking for a specific brand of headphones with noise-cancellation feature, Bluetooth connectivity, and a built-in microphone for hands-free calling.	{'plan': 'ShoppingAssistant', 'arguments': {}}	['recipe_retrieval', 'web_scraper', 'clinq', 'ShoppingAssistant', 'fundsdbsearch']
What are the different payment options available on Uniket that users can choose from for their purchases?	{'plan': 'ShoppingAssistant', 'arguments': {}}	['RestaurantBookingTool', 'Tax_Calculator', 'ShoppingAssistant', 'tira', 'RepoTool']
I accidentally removed an item from my cart, and I would like to have it restored as soon as possible so that I can proceed with my purchase smoothly.	{'plan': 'ShoppingAssistant', 'arguments': {}}	['search', 'ShoppingAssistant', 'DataRetrievalTool', 'Creaticode_Extension_of_MIT_Scratch', 'MemeTool']
I want to personalize a gift for a special occasion and make it meaningful and unique to the recipient.	{'plan': 'ShoppingAssistant', 'arguments': {}}	['SummarizeAnything_pr', 'Glowing', 'video_highlight', 'ShoppingAssistant', 'jini']
I need help finding a course on Coursera.	{'plan': 'CourseTool', 'arguments': {}}	['word_counter', 'exportchat', 'PolishTool', 'CourseTool', 'ImageSearch']
What are the current crypto metrics?	{'plan': 'FinanceTool', 'arguments': {}}	['ProductSearch', 'MixerBox_Translate_AI_language_tutor', 'FinanceTool', 'exportchat', 'deployscript']
I am looking for a domain name for my business.	{'plan': 'URLTool', 'arguments': {}}	['universal', 'ProductComparison', 'MemeTool', 'URLTool', 'Magnetis']
I am looking for a good gift idea for my friend.	{'plan': 'GiftTool', 'arguments': {}}	['SuperchargeMyEV', 'calculator', 'GiftTool', 'SSH', 'ai_council']
Analyze the content of this link	{'plan': 'PDF&URLTool', 'arguments': {}}	['wpinteract', 'create_qr_code', 'Google_Ads_Shopping_Microsoft_Ads_pay_per_click', 'PDF&URLTool', 'PolishTool']
I need to edit a photo.	{'plan': 'MediaModifyTool', 'arguments': {}}	['Talkface_IELTS_Prep', 'MediaModifyTool', 'heygen', 'MixerBox_WebSearchG_web_search', 'PDF_Exporter']
Can you help me make my words more impactful	{'plan': 'PolishTool', 'arguments': {}}	['Checkers', 'PolishTool', 'Agones', 'VideoSummarizeTool', 'storybird_stories']
Are there any courses available through edX?	{'plan': 'CourseTool', 'arguments': {}}	['CTCP', 'CourseTool', 'CranePumpsManuals', 'talkfpl', 'ResearchHelper']
Are there any day trips I can take from London?	{'plan': 'TripAdviceTool', 'arguments': {}}	['WebRewind', 'ndricks_sports_api', 'dart', 'Broadway', 'TripAdviceTool']
Are there any earthquake warnings in the Philippines?	{'plan': 'EarthquakeTool', 'arguments': {}}	['CharityTool', 'copilot', 'website_performance_insights', 'Bohita', 'EarthquakeTool']
Are there any movies like ‘The Matrix’?	{'plan': 'MediaTool', 'arguments': {}}	['MediaTool', 'Planfit', 'uk_politics', 'dart', 'PDF_Exporter']
Are there any news or fundamentals for options?	{'plan': 'FinanceTool', 'arguments': {}}	['magi_codex', 'lsongai', 'AusPetrolPrices', 'FinanceTool', 'TripAdviceTool']
Are there any nonprofits that I can support in my community?	{'plan': 'CharityTool', 'arguments': {}}	['CharityTool', 'ai_council', 'kraftful', 'uberchord', 'portfoliopilot']
Are there any package tours I can book?	{'plan': 'TripAdviceTool', 'arguments': {}}	['form', 'WordCloud', 'MemeTool', 'TripAdviceTool', 'C3_Glide']
Are there educational podcasts available?	{'plan': 'PodcastTool', 'arguments': {}}	['CourseTool', 'crafty_clues', 'PodcastTool', 'ArtCollection', 'NewsTool']
Are there picture books suitable for children?	{'plan': 'BookTool', 'arguments': {}}	['airqualityforeast', 'WebRewind', 'magi_codex', 'Talkface_IELTS_Prep', 'BookTool']
Can I achieve my language learning goals with tutors?	{'plan': 'CourseTool', 'arguments': {}}	['DataRetrievalTool', 'speechki_tts_plugin', 'CourseTool', 'socialsearch', 'lsongai']
Can I check multiple domain names at once?	{'plan': 'URLTool', 'arguments': {}}	['hackit_web_scanner', 'AusPetrolPrices', 'URLTool', 'brandfetch', 'dev']
Can I check the availability of a domain?	{'plan': 'URLTool', 'arguments': {}}	['ChatOCR', 'mini_habits', 'AppyPieAIAppBuilder', 'URLTool', 'AI2sql']
Can I create a diet plan with this?	{'plan': 'DietTool', 'arguments': {}}	['Zapier', 'ai_council', 'MemoryTool', 'DietTool', 'NotesTool']
Can I create a playlist of songs?	{'plan': 'MusicTool', 'arguments': {}}	['decision_journal', 'exportchat', 'MusicTool', 'web_scraper', 'ndricks_sports_api']
Can I create a website using AI?	{'plan': 'WebsiteTool', 'arguments': {}}	['chatspot', 'WebsiteTool', 'C3_Glide', 'uberchord', 'AutoInfra1']
Can I create an autonomous playlist?	{'plan': 'MusicTool', 'arguments': {}}	['form', 'clinq', 'MusicTool', 'heygen', 'AutoInfra1']
Can I customize a meme with my own text?	{'plan': 'MemeTool', 'arguments': {}}	['AppyPieAIAppBuilder', 'universal', 'MemeTool', 'brandfetch', 'ProductSearch']
Can I edit my resume?	{'plan': 'ResumeTool', 'arguments': {}}	['ndricks_sports_api', 'VideoSummarizeTool', 'StrologyTool', 'cloudflare_radar', 'ResumeTool']
Can I find all the music playlists I need in one place?	{'plan': 'MusicTool', 'arguments': {}}	['social_media_muse', 'MusicTool', 'MediaTool', 'hdbcarpark', 'ChartTool']
Can I find information about a specific game?	{'plan': 'GameTool', 'arguments': {}}	['Substack_IQ', 'seoanalysis', 'timemachine', 'GameTool', 'Broadway']
Can I find lecture transcripts on technology?	{'plan': 'CourseTool', 'arguments': {}}	['storybird_stories', 'CourseTool', 'buildbetter', 'form', 'MediaTool']
Can I find out who the officers of a company are from Companies House?	{'plan': 'CompanyInfoTool', 'arguments': {}}	['Planfit', 'ApexMap', 'MediaModifyTool', 'CompanyInfoTool', 'Glowing']
Can I get a financial analysis of this company?	{'plan': 'FinanceTool', 'arguments': {}}	['FinanceTool', 'local', 'ExchangeTool', 'EmailByNylas', 'word_sneak']
Can I get a Google Drive link for this document?	{'plan': 'PDF&URLTool', 'arguments': {}}	['shimmer_daily', 'search', 'mbti', 'PDF&URLTool', 'ndricks_sports_api']
Can I get a summary of the latest news from Italy?	{'plan': 'NewsTool', 'arguments': {}}	['NewsTool', 'PDF_Exporter', 'QuiverQuantitative', 'WebsiteTool', 'NASATool']
Can I get alerts about earthquakes?	{'plan': 'EarthquakeTool', 'arguments': {}}	['uk_politics', 'TripAdviceTool', 'SceneXplain', 'kraftful', 'EarthquakeTool']
Can I get all the ingredients for a chocolate cake delivered?	{'plan': 'DietTool', 'arguments': {}}	['DietTool', 'metaphor_search_api', 'mbti', 'CompanyInfoTool', 'Figlet']
Can I get an answer right away?	{'plan': 'VideoSummarizeTool', 'arguments': {}}	['MixerBox_WebSearchG_web_search', 'VideoSummarizeTool', 'photorealistic', 'timeport', 'MediaModifyTool']
Can I get an automated design for my website?	{'plan': 'WebsiteTool', 'arguments': {}}	['champdex', 'MemeTool', 'WebsiteTool', 'wpinteract', 'AusSurfReport']
Can I get an image related to a HackerNews story?	{'plan': 'NewsTool', 'arguments': {}}	['ad4mat', 'ApexMap', 'dev', 'AppyPieAIAppBuilder', 'NewsTool']
Can I get data about recent earthquakes?	{'plan': 'EarthquakeTool', 'arguments': {}}	['keyplays_football', 'Creaticode_Extension_of_MIT_Scratch', 'EarthquakeTool', 'ad4mat', 'Now']
Can I get groceries delivered from here?	{'plan': 'DietTool', 'arguments': {}}	['copywriter', 'hadith', 'form', 'bramework', 'DietTool']
Can I get historical data on DeFi protocols?	{'plan': 'FinanceTool', 'arguments': {}}	['portfoliopilot', 'brandfetch', 'FinanceTool', 'RoboAd', 'timemachine']
Can I get some help finding the best activities for my trip?	{'plan': 'TripAdviceTool', 'arguments': {}}	['Magnetis', 'placid', 'search', 'ImageSearch', 'TripAdviceTool']
Can I get the best price for my flight?	{'plan': 'TripTool', 'arguments': {}}	['MediaTool', 'TripTool', 'Talkface_IELTS_Prep', 'EmailByNylas', 'web_scraper']
Can I get the latest news about NFTs?	{'plan': 'FinanceTool', 'arguments': {}}	['CreditYelp', 'hubbubworld_hubbub_1', 'mini_habits', 'FinanceTool', 'smarttsicketsai']
Can I get transcripts of videos from YouTube?	{'plan': 'VideoSummarizeTool', 'arguments': {}}	['CTCP', 'SummarizeAnything_pr', 'Algorithma', 'hadith', 'VideoSummarizeTool']
Can I log my food intake for the day?	{'plan': 'DietTool', 'arguments': {}}	['WordCloud', 'DietTool', 'socialsearch', 'exportchat', 'talkfpl']
Can I post a conversation to my Wordpress blog?	{'plan': 'WebsiteTool', 'arguments': {}}	['WebsiteTool', 'Talkface_IELTS_Prep', 'buildbetter', 'CompanyInfoTool', 'Zapier']
Can I visualize my concept?	{'plan': 'ChartTool', 'arguments': {}}	['shimmer_daily', 'web_requests', 'Agones', 'ChartTool', 'clinical_trial_radar']
Can you analyze this video for me?	{'plan': 'VideoSummarizeTool', 'arguments': {}}	['Chess', 'RepoTool', 'VideoSummarizeTool', 'qreator', 'champdex']
Can you analyze this YouTube video for me?	{'plan': 'VideoSummarizeTool', 'arguments': {}}	['placid', 'Checkers', 'VideoSummarizeTool', 'ShoppingAssistant', 'FinanceTool']
Can you answer a few questions about the data in this PDF?	{'plan': 'PDF&URLTool', 'arguments': {}}	['WebsiteTool', 'assetOvi', 'HousePurchasingTool', 'PDF&URLTool', 'Bohita']
Can you check if this domain name is available?	{'plan': 'URLTool', 'arguments': {}}	['AbleStyle', 'buildbetter', 'FinanceTool', 'URLTool', 'ph_ai_news_query']
Can you check this domain name?	{'plan': 'URLTool', 'arguments': {}}	['korea_subway', 'Figlet', 'URLTool', 'SuperchargeMyEV', 'TripAdviceTool']
Can you clip the important parts of this video for me?	{'plan': 'VideoSummarizeTool', 'arguments': {}}	['MediaTool', 'VideoSummarizeTool', 'GameTool', 'crafty_clues', 'ArtCollection']
Can you create a customized lesson plan for me?	{'plan': 'CourseTool', 'arguments': {}}	['WebRewind', 'speechki_tts_plugin', 'CourseTool', 'heygen', 'rephrase']
Can you create a diagram to explain how this works?	{'plan': 'ChartTool', 'arguments': {}}	['DietTool', 'magi_codex', 'Man_of_Many', 'ChartTool', 'clinical_trial_radar']
Can you create a Spotify playlist for me?	{'plan': 'MusicTool', 'arguments': {}}	['JobTool', 'Checkers', 'MusicTool', 'EmailByNylas', 'DataRetrievalTool']
Can you create flashcards based on an input?	{'plan': 'MemoryTool', 'arguments': {}}	['MemoryTool', 'webhooks', 'internetSearch', 'speechki_tts_plugin', 'Magnetis']
Can you explain context cues to me?	{'plan': 'MemoryTool', 'arguments': {}}	['search', 'MemoryTool', 'seoanalysis', 'Bohita', 'TalentOrg']
Can you explain the news to me?	{'plan': 'NewsTool', 'arguments': {}}	['NewsTool', 'Planfit', 'WordCloud', 'Puzzle_Constructor', 'ResumeTool']
Can you extract insights from this PDF?	{'plan': 'PDF&URLTool', 'arguments': {}}	['Magnetis', 'GiftTool', 'StrologyTool', 'SummarizeAnything_pr', 'PDF&URLTool']
Can you find me a good book from the titles you've scanned?	{'plan': 'BookTool', 'arguments': {}}	['ndricks_sports_api', 'webhooks', 'BookTool', 'CranePumpsManuals', 'search']
Can you generate a map with a marker on a certain spot?	{'plan': 'MapTool', 'arguments': {}}	['CarYardBard', 'EarthquakeTool', 'MapTool', 'metaphor_search_api', 'Review']
Can you generate a map with these coordinates?	{'plan': 'MapTool', 'arguments': {}}	['dart', 'PodcastTool', 'Chess', 'RestaurantBookingTool', 'MapTool']
Can you generate a meme for me?	{'plan': 'MemeTool', 'arguments': {}}	['SuperchargeMyEV', 'MemeTool', 'Man_of_Many', 'airqualityforeast', 'Review']
Can you generate a Spotify playlist for me?	{'plan': 'MusicTool', 'arguments': {}}	['MusicTool', 'chatspot', 'RoboAd', 'ImageSearch', 'universal']
Can you generate an article based on these URLs?	{'plan': 'PDF&URLTool', 'arguments': {}}	['PDF&URLTool', 'keyplays_football', 'LarkBaseImporter', 'tailor_erp', 'web_scraper']
Can you generate reports from my data?	{'plan': 'ChartTool', 'arguments': {}}	['ChatOCR', 'ChartTool', 'portfoliopilot', 'Algorithma', 'timeport']
Can you give me an analysis of this podcast transcript?	{'plan': 'PodcastTool', 'arguments': {}}	['PodcastTool', 'buildbetter', 'keyplays_football', 'Horoscopes_by_Inner_Self', 'GameTool']
Can you give me financial information about a UK company?	{'plan': 'CompanyInfoTool', 'arguments': {}}	['Tax_Calculator', 'FinanceTool', 'CompanyInfoTool', 'GifApi', 'calculator']
Can you give me the latest news from Italy?	{'plan': 'NewsTool', 'arguments': {}}	['what_to_watch', 'hacktrack', 'Creaticode_Extension_of_MIT_Scratch', 'FinanceTool', 'NewsTool']
Can you give me the latest weather forecast for [date]?	{'plan': 'WeatherTool', 'arguments': {}}	['ProductSearch', 'uberchord', 'CompanyInfoTool', 'brandfetch', 'WeatherTool']
Can you give me the real-time weather data?	{'plan': 'WeatherTool', 'arguments': {}}	['HousePurchasingTool', 'web_scraper', 'WeatherTool', 'Checkers', 'PDF_Exporter']
Can you give me the weather forecast for my current location?	{'plan': 'WeatherTool', 'arguments': {}}	['GameTool', 'abc_to_audio', 'smarttsicketsai', 'WeatherTool', 'ExchangeTool']
Can you give me updates on the latest news from the UK?	{'plan': 'NewsTool', 'arguments': {}}	['NewsTool', 'seoanalysis', 'internetSearch', 'Checkers', 'hadith']
Can you help me analyze my data?	{'plan': 'ChartTool', 'arguments': {}}	['haulingbuddies', 'placid', 'MediaModifyTool', 'ChartTool', 'C3_Glide']
Can you help me book a flight to my destination?	{'plan': 'TripTool', 'arguments': {}}	['cloudflare_radar', 'rephrase', 'TripTool', 'heygen', 'QuiverQuantitative']
Can you help me book a flight with Expedia?	{'plan': 'TripAdviceTool', 'arguments': {}}	['diceroller', 'Checkers', 'tailor_erp', 'Man_of_Many', 'TripAdviceTool']
Can you help me book a flight?	{'plan': 'TripTool', 'arguments': {}}	['EmailByNylas', 'calculator', 'TripTool', 'uberchord', 'assetOvi']
Can you help me build a website using AI in 60 seconds?	{'plan': 'WebsiteTool', 'arguments': {}}	['socialsearch', 'Visla', 'lsongai', 'WebsiteTool', 'TalentOrg']
Can you help me create a meme?	{'plan': 'MemeTool', 'arguments': {}}	['dover_outreach', 'ProductComparison', 'portfoliopilot', 'VideoSummarizeTool', 'MemeTool']
Can you help me create a to-do list?	{'plan': 'NotesTool', 'arguments': {}}	['NotesTool', 'DietTool', 'seoanalysis', 'HousePurchasingTool', 'find_agency']
Can you help me edit this image?	{'plan': 'MediaModifyTool', 'arguments': {}}	['internetSearch', 'EarthquakeTool', 'chat_with_workspace', 'TicTacToe', 'MediaModifyTool']
Can you help me enhance this image?	{'plan': 'MediaModifyTool', 'arguments': {}}	['dart', 'exportchat', 'MediaModifyTool', 'Substack_IQ', 'ABCmouse']
Can you help me figure out the exchange rate from Canadian Dollars to Indian Rupees?	{'plan': 'ExchangeTool', 'arguments': {}}	['korea_subway', 'recipe_retrieval', 'ExchangeTool', 'MediaModifyTool', 'AI2sql']
Can you help me find a book?	{'plan': 'BookTool', 'arguments': {}}	['what_to_watch', 'MusicTool', 'BookTool', 'AusSurfReport', 'universal']
Can you help me find a ferry?	{'plan': 'TripTool', 'arguments': {}}	['ProductSearch', 'URLTool', 'ShoppingAssistant', 'TripTool', 'timemachine']
Can you help me find a hotel listed on Kakaku?	{'plan': 'TripTool', 'arguments': {}}	['Tax_Calculator', 'blockatlas', 'WeatherTool', 'hadith', 'TripTool']
Can you help me find a hotel that is close to my destination?	{'plan': 'TripAdviceTool', 'arguments': {}}	['TripAdviceTool', 'MediaTool', 'Substack_IQ', 'recipe_retrieval', 'magi_codex']
Can you help me find a map of a certain location?	{'plan': 'MapTool', 'arguments': {}}	['copywriter', 'Zapier', 'MapTool', 'locator', 'SSH']
Can you help me find my personal information?	{'plan': 'DataRetrievalTool', 'arguments': {}}	['Puzzle_Constructor', 'deployscript', 'DataRetrievalTool', 'ndricks_sports_api', 'ChatOCR']
Can you help me find specific information from this podcast?	{'plan': 'PodcastTool', 'arguments': {}}	['PodcastTool', 'rephrase', 'heygen', 'WordCloud', 'locator']
Can you help me find the answer to this question?	{'plan': 'DataRetrievalTool', 'arguments': {}}	['ai_council', 'web_requests', 'DataRetrievalTool', 'WebsiteTool', 'AI2sql']
Can you help me generate gift ideas?	{'plan': 'GiftTool', 'arguments': {}}	['qreator', 'GiftTool', 'search', 'local', 'website_performance_insights']
Can you help me manage my reminders?	{'plan': 'NotesTool', 'arguments': {}}	['NotesTool', 'ChatOCR', 'sakenowa', 'abc_to_audio', 'socialsearch']
